timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1635453208100,0.05517578,-1.0276489,0.054626465,4.6875,2.09375,0.953125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208140,0.05053711,-0.99298096,0.049743652,4.390625,1.765625,0.3125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208175,0.026855469,-0.9834595,0.02557373,5.953125,1.921875,1.078125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208213,0.060546875,-1.0288696,0.020690918,6.546875,1.0,1.328125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208250,0.07348633,-1.0120239,0.05657959,2.921875,-0.59375,0.46875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208288,0.03540039,-1.0061646,0.03753662,5.21875,-0.328125,0.71875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208325,0.06542969,-1.0264282,0.041931152,4.984375,-2.1875,1.90625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208363,0.072021484,-1.0374146,0.06317139,-0.046875,-1.84375,-0.28125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208400,0.04248047,-0.9890747,0.07171631,-2.640625,-1.640625,-0.03125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208437,0.05908203,-1.0715942,0.058532715,-0.6875,-0.875,-1.703125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208494,0.061523438,-0.98516846,0.081970215,-7.609375,-0.640625,-3.375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208532,0.039794922,-0.9378052,0.05706787,-4.1875,-2.09375,-2.3125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208569,0.091552734,-1.0366821,0.053649902,-2.828125,-4.390625,-2.546875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208607,0.09765625,-1.00177,0.08074951,-6.96875,-2.359375,-3.515625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208644,0.049804688,-0.95513916,0.06488037,-0.296875,-3.59375,-3.46875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208682,0.024658203,-0.97906494,0.034606934,4.171875,-2.90625,-1.34375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208719,-0.02368164,-0.9417114,0.03778076,4.1875,3.546875,0.3125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208756,-0.09692383,-0.954895,0.04119873,5.703125,8.3125,2.71875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208794,-0.083740234,-1.0430298,-0.032287598,8.65625,9.46875,7.5,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208832,0.049804688,-1.1192017,-0.040100098,10.140625,6.328125,7.09375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208889,-0.008300781,-1.1087036,0.039001465,-1.328125,5.015625,0.171875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208925,-0.14794922,-0.9885864,0.12445068,-7.34375,7.703125,-2.15625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453208963,-0.1496582,-1.0112915,0.08123779,6.9375,12.578125,1.453125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209000,-0.04345703,-1.0149536,-0.011291504,3.71875,16.8125,2.296875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209037,0.011474609,-0.9927368,-0.030090332,4.21875,15.828125,3.21875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209079,0.1328125,-1.0025024,0.05682373,3.96875,6.09375,3.09375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209112,0.052001953,-1.0437622,0.09295654,-7.15625,-1.53125,1.375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209150,-0.034423828,-0.83966064,0.11273193,4.953125,-18.46875,4.78125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209187,-0.064697266,-0.7803345,-0.019348145,-0.046875,-2.015625,5.71875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209226,-0.09326172,-0.72320557,-0.097473145,0.890625,1.640625,6.609375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209282,-0.056640625,-0.550354,0.018981934,-2.859375,7.46875,8.09375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209320,-0.14160156,-0.54888916,0.14666748,-11.859375,16.140625,7.0,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209358,-0.123046875,-0.72613525,0.11859131,-11.34375,12.453125,2.921875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209396,0.030273438,-0.9319458,-0.19805908,6.78125,13.390625,-5.046875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209433,0.23754883,-0.9985962,-0.036193848,4.609375,17.15625,4.171875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209470,-0.064941406,-1.5371704,0.003112793,-18.65625,37.09375,-26.71875,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209506,0.24804688,-1.5088501,0.14422607,12.78125,45.796875,-8.640625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209544,0.71972656,-1.3401489,-0.10015869,4.25,22.234375,23.640625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209583,0.6789551,-1.3953247,0.3673706,-33.359375,7.859375,-14.359375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209619,-0.13842773,-1.43219,0.11224365,-4.984375,-17.734375,-19.015625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209675,-0.07299805,-1.4824829,-0.013244629,10.96875,-13.953125,3.5,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209713,0.29077148,-1.0828247,0.35101318,-16.859375,-8.640625,10.59375,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209753,0.27807617,-0.72125244,0.2753296,-8.0625,-30.375,3.53125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209789,-0.004638672,-0.59942627,0.12445068,-11.671875,-27.703125,6.40625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209825,-0.13916016,-0.5239868,0.08319092,7.34375,-12.3125,8.953125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209863,0.03881836,-0.62164307,0.24603271,6.828125,-5.578125,3.953125,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209900,0.13452148,-0.5630493,0.21453857,7.34375,-22.328125,-3.65625,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
1635453209937,0.009765625,-0.49371338,0.23529053,28.65625,-10.34375,-1.5,Respeck,Descending stairs,13,s1788488,,Respeck_s1788488_Descending stairs_28-10-2021_21-33-35
