timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1635453531914,0.0637207,-0.97198486,0.24993896,5.46875,0.3125,0.5,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453531949,0.08935547,-0.97320557,0.24041748,4.703125,-0.125,3.234375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453531989,0.10620117,-0.9866333,0.246521,4.03125,-1.21875,3.109375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532028,0.072265625,-0.97540283,0.26239014,1.4375,0.765625,1.46875,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532062,0.088378906,-0.96343994,0.260437,2.484375,1.546875,2.109375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532100,0.09008789,-1.0210571,0.23504639,1.25,0.109375,-0.859375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532144,0.10668945,-0.97735596,0.22650146,-0.03125,-1.171875,-0.25,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532176,0.057128906,-0.9981079,0.26263428,0.796875,-1.359375,-2.34375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532212,0.049804688,-1.0188599,0.19915771,2.9375,-0.640625,-2.71875,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532272,0.029052734,-0.9717407,0.2296753,0.359375,1.890625,-4.734375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532307,0.014160156,-0.95098877,0.2423706,3.375,4.703125,-4.859375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532344,0.048339844,-0.99224854,0.24603271,6.1875,4.921875,-1.078125,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532382,0.03564453,-0.9668579,0.24945068,7.578125,5.125,-0.5,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532420,0.04711914,-0.9573364,0.24798584,8.375,5.765625,-0.890625,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532456,0.05859375,-0.9890747,0.24188232,8.578125,4.71875,-0.109375,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
1635453532494,0.078125,-1.0093384,0.23162842,11.703125,3.09375,2.125,Respeck,Movement,9,s1724067,,Respeck_s1724067_Movement_28-10-2021_21-39-39
