timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1635460345550,-0.23046875,-0.9338989,0.1749878,-1.40625,5.0625,-0.15625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345586,-0.22705078,-0.9817505,0.24188232,2.796875,3.078125,4.96875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345624,-0.19702148,-1.0325317,0.2736206,5.890625,-2.09375,6.109375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345663,-0.16894531,-0.9397583,0.20965576,5.625,-5.6875,6.84375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345700,-0.13110352,-0.9483032,0.1564331,8.296875,-12.5,5.078125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345738,-0.109375,-0.991272,0.1437378,11.484375,-16.90625,5.421875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345775,-0.15429688,-1.0215454,0.11077881,7.984375,-23.0625,3.796875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345869,-0.20239258,-0.9807739,0.042663574,12.4375,-26.828125,3.328125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345888,-0.22973633,-0.8765259,0.0045776367,15.984375,-14.34375,5.546875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345906,-0.3017578,-0.7932739,0.00970459,24.171875,-1.625,9.171875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345943,-0.34277344,-0.99053955,-0.03375244,20.984375,-1.0625,6.09375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460345981,-0.4765625,-1.1499634,0.0993042,23.265625,14.625,10.5625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346019,-0.25439453,-1.3626099,0.11419678,9.671875,22.875,4.5,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346058,-0.119140625,-1.083313,0.074157715,-0.125,12.125,0.015625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346094,-0.1796875,-0.90216064,0.06365967,-2.234375,5.90625,-1.71875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346131,-0.16381836,-0.7925415,-0.018859863,5.640625,-2.609375,1.296875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346170,-0.17700195,-0.8394165,-0.035705566,12.015625,-4.171875,7.34375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346225,-0.29370117,-1.0090942,-0.0071411133,13.625,-5.140625,4.828125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346263,-0.28979492,-1.0444946,0.031921387,10.265625,0.09375,2.703125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346300,-0.29248047,-1.0178833,-0.0134887695,5.78125,3.359375,2.984375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346339,-0.17407227,-1.0440063,-0.0029907227,5.671875,0.875,4.140625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346375,-0.2241211,-1.0913696,-0.006164551,5.09375,-0.46875,6.375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346413,-0.32202148,-1.3189087,-0.062072754,8.546875,-3.046875,2.734375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346451,-0.46191406,-1.7693481,-0.20318604,4.03125,4.78125,-2.265625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346488,-0.04345703,-1.6975708,-0.085754395,-19.125,6.0,1.109375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346525,0.14648438,-1.0632935,-0.081848145,-29.3125,14.125,10.21875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346563,0.08129883,-0.616272,-0.19732666,0.46875,-15.15625,5.703125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346600,0.1171875,-0.8442993,-0.02935791,9.3125,-8.4375,5.6875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346656,-0.05029297,-1.2495728,0.03778076,5.046875,-9.5,3.0,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346693,-0.017822266,-0.9085083,-0.00079345703,-10.109375,-7.84375,2.578125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346731,-0.11254883,-0.6567993,-0.038391113,3.5625,-4.84375,2.578125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346769,-0.033447266,-0.6760864,0.03778076,2.984375,-2.671875,5.546875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346807,-0.01928711,-0.6289673,0.043395996,3.859375,-5.703125,5.9375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346845,-0.07324219,-0.6536255,0.054626465,3.375,-3.984375,6.640625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346881,-0.08105469,-0.8657837,0.082214355,5.640625,1.296875,6.609375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346919,-0.061279297,-1.1218872,0.06756592,5.359375,9.546875,4.109375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346957,0.0073242188,-1.2815552,0.023864746,12.703125,6.9375,4.75,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460346994,0.01953125,-1.4265747,0.07904053,12.34375,2.203125,0.6875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347050,-0.049560547,-1.3826294,-0.13336182,5.53125,3.953125,-9.140625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347088,0.37475586,-1.8701782,-0.14239502,24.078125,-21.828125,-3.25,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347126,-0.4794922,-0.9993286,-0.1729126,-21.078125,51.34375,6.203125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347162,0.16894531,-0.57940674,-0.5342407,-6.15625,34.609375,-8.875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347200,-0.0703125,-0.77716064,-0.06768799,16.96875,12.359375,-15.203125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347238,-0.07861328,-1.2200317,-0.10308838,-15.359375,17.625,-10.5,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347275,-0.0075683594,-0.8242798,-0.15777588,-7.53125,6.421875,-6.84375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347313,-0.083496094,-0.5437622,-0.06011963,-3.890625,9.6875,-9.0,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347351,-0.096191406,-0.61383057,-0.053527832,6.921875,10.171875,-1.140625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347388,-0.125,-0.6189575,-0.06109619,10.296875,4.078125,2.234375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347444,-0.15820312,-0.7852173,-0.085754395,16.515625,0.125,0.203125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347481,-0.23706055,-1.1135864,-0.03375244,16.09375,-2.203125,-0.796875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347519,-0.25854492,-1.2590942,-0.054504395,12.03125,4.984375,-2.328125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347557,-0.12866211,-1.3130493,-0.065979004,-1.625,5.0625,-2.65625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347594,-0.087890625,-1.2520142,-0.10748291,-11.734375,-2.90625,2.3125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347632,-0.296875,-1.789856,-0.24102783,4.53125,-10.484375,-3.90625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347670,0.16235352,-1.3113403,-0.13580322,-12.65625,1.0625,8.828125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347706,0.14624023,-0.7901001,-0.18048096,-26.671875,17.078125,20.25,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347744,0.14208984,-0.6343384,-0.22833252,10.171875,-42.734375,5.0,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347782,-0.041748047,-0.9859009,0.10369873,7.671875,-26.625,2.859375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347819,-0.107910156,-1.0999146,0.014099121,-3.640625,-16.453125,-3.921875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347875,-0.03930664,-0.78692627,-0.06402588,-2.15625,-14.859375,2.875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347914,-0.05029297,-0.59381104,-0.06060791,6.1875,-16.140625,5.203125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347951,-0.052246094,-0.69732666,0.018981934,16.46875,-14.453125,9.609375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460347988,-0.13134766,-0.7341919,0.04925537,10.0625,-8.265625,9.40625,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460348026,-0.09448242,-0.78570557,0.0119018555,8.4375,-6.359375,6.171875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460348063,-0.03125,-1.0962524,0.018981934,8.75,-2.703125,5.109375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460348101,0.1159668,-1.2984009,0.034606934,0.96875,-8.125,3.8125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460348138,0.044677734,-1.2610474,0.059509277,0.578125,-4.65625,3.109375,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460348176,-0.11694336,-1.2749634,0.029724121,8.609375,1.953125,-8.046875,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
1635460348212,0.5476074,-1.7102661,-0.3110962,13.15625,-22.109375,-2.28125,Respeck,Climbing stairs,12,s2106215,,Respeck_s2106215_Climbing stairs_28-10-2021_23-32-31
