# Sensor type: Respeck
# Activity type: Movement
# Activity code: 9
# Subject id: s2251802
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635457330324,0.096191406,-0.99053955,0.1642456,5.0625,2.46875,2.90625
1635457330387,0.10229492,-0.98223877,0.14959717,4.53125,3.984375,2.765625
1635457330419,0.09448242,-0.9961548,0.1383667,3.921875,3.640625,3.203125
1635457330456,0.103515625,-0.9890747,0.1564331,6.40625,5.09375,4.140625
1635457330494,0.13232422,-0.98223877,0.13250732,4.703125,4.078125,5.125
1635457330531,0.14916992,-0.98272705,0.15570068,4.953125,6.0,6.65625
1635457330570,0.23706055,-0.93585205,0.13934326,6.875,2.0,8.203125
1635457330606,0.2290039,-0.92071533,0.17523193,3.671875,-1.515625,6.984375
1635457330644,0.16088867,-1.041565,0.21990967,1.109375,-2.703125,3.53125
1635457330681,0.11352539,-1.1189575,0.18548584,9.078125,0.921875,4.984375
1635457330718,0.24243164,-1.041565,0.1395874,10.328125,2.4375,7.859375
1635457330778,0.22583008,-0.9619751,0.17401123,2.484375,-0.46875,6.375
1635457330813,0.20263672,-0.9246216,0.17156982,2.921875,0.28125,6.359375
1635457330850,0.20800781,-0.98565674,0.17767334,4.40625,0.875,5.0
1635457330907,0.24243164,-0.9985962,0.15301514,4.4375,-0.6875,4.296875
1635457330925,0.18554688,-0.9907837,0.1918335,0.921875,3.484375,1.765625
1635457330962,0.1862793,-1.0237427,0.1749878,2.9375,5.484375,2.265625
1635457331001,0.1875,-0.9614868,0.2164917,2.953125,4.984375,0.734375
1635457331036,0.1875,-0.9116821,0.1708374,6.234375,5.421875,2.96875
1635457331074,0.13085938,-0.85772705,0.20452881,-0.140625,9.328125,0.671875
1635457331112,0.103759766,-0.86016846,0.19378662,4.3125,13.46875,1.9375
1635457331207,0.10644531,-0.8242798,0.21234131,2.046875,17.609375,-0.421875
1635457331212,0.12451172,-0.7974243,0.2189331,3.40625,23.390625,-1.8125
1635457331244,0.044189453,-0.7720337,0.22821045,4.953125,23.359375,-3.96875
1635457331280,0.13183594,-0.8303833,0.28656006,8.46875,22.140625,-3.234375
1635457331321,0.072021484,-0.89434814,0.3192749,8.8125,24.015625,-6.796875
1635457331356,0.18188477,-0.99835205,-0.06842041,32.859375,17.25,-1.0
1635457331394,0.46020508,-1.3755493,-0.46905518,54.140625,13.5625,18.0625
1635457331431,0.82592773,-1.3872681,-0.536438,47.46875,0.828125,43.203125
1635457331469,0.12817383,-0.894104,-0.43023682,28.453125,10.46875,24.3125
1635457331506,0.49291992,-0.7407837,-0.5108032,63.953125,17.78125,14.015625
1635457331544,1.0144043,-1.0144653,-0.5803833,40.703125,-22.1875,22.046875
1635457331600,0.19604492,-0.85601807,-0.29278564,-4.46875,-13.453125,-1.859375
1635457331638,-0.111328125,-0.8242798,-0.33428955,34.921875,-11.3125,4.21875
1635457331675,0.45214844,-0.8887329,-0.425354,29.03125,-1.4375,3.75
1635457331718,0.6171875,-0.9224243,-0.3340454,-0.59375,-4.296875,-5.140625
1635457331751,0.32739258,-0.85162354,-0.34283447,-22.484375,2.375,-16.8125
1635457331788,0.25805664,-0.8208618,-0.32867432,-9.375,3.859375,-11.046875
1635457331825,0.4099121,-0.92681885,-0.378479,-12.984375,4.5,-11.359375
1635457331862,0.40893555,-0.8921509,-0.30133057,-30.234375,5.96875,-15.5
1635457331900,0.32983398,-0.82281494,-0.2498169,-24.609375,2.3125,-17.171875
1635457331938,0.32348633,-0.98394775,-0.19415283,-26.03125,1.28125,-13.09375
1635457331994,0.28735352,-0.9837036,-0.18829346,-24.71875,-11.15625,-11.0625
1635457332032,0.27563477,-0.92144775,-0.22076416,-17.921875,-14.640625,-10.78125
1635457332069,0.3334961,-0.8867798,-0.10479736,-23.109375,-15.71875,-7.421875
1635457332107,0.14916992,-0.77960205,0.03704834,-17.15625,-20.140625,-6.46875
1635457332144,0.064208984,-0.87994385,0.030212402,-9.921875,-21.0,-7.3125
1635457332182,0.053955078,-0.788147,-0.02178955,-6.703125,-16.25,0.25
1635457332219,0.122802734,-0.7070923,0.017028809,-3.5,-14.5,6.3125
1635457332260,0.30273438,-0.84039307,0.17791748,-1.265625,-23.5625,14.46875
1635457332294,0.3100586,-0.93536377,0.14813232,-13.203125,-28.671875,14.34375
1635457332332,0.12646484,-0.9380493,0.004333496,-15.59375,-30.015625,10.453125
1635457332388,0.3803711,-1.1626587,-0.15484619,-8.921875,-30.4375,14.578125
1635457332425,0.765625,-1.6516724,-0.015686035,-4.046875,-6.703125,8.140625
1635457332463,0.35668945,-1.4160767,-0.20587158,14.09375,24.859375,12.546875
1635457332500,0.21264648,-1.0842896,-0.21636963,15.859375,18.46875,23.109375
1635457332539,0.31030273,-0.5039673,0.18377686,-12.484375,25.390625,22.34375
1635457332575,0.2602539,-0.7612915,-0.04107666,-2.734375,19.328125,8.84375
1635457332613,0.4560547,-0.85528564,-0.074279785,-4.9375,9.9375,8.28125
1635457332652,0.46972656,-0.65802,0.09197998,-9.25,17.328125,1.390625
1635457332689,0.4880371,-0.8411255,0.030212402,-2.4375,24.328125,-5.796875
1635457332725,0.5151367,-0.972229,-0.11871338,0.625,24.265625,-7.921875
1635457332781,0.41308594,-0.8855591,-0.062316895,-11.546875,28.109375,-10.28125
1635457332820,0.33520508,-0.90582275,-0.06500244,-10.890625,35.765625,-12.765625
1635457332857,0.32788086,-0.9006958,-0.024963379,-17.25,38.765625,-9.234375
1635457332894,0.24707031,-0.8491821,0.042419434,-23.078125,44.75,-13.453125
1635457332931,0.23852539,-0.9104614,-0.0020141602,-14.75,41.875,-11.984375
1635457332969,0.1850586,-0.90582275,0.05267334,-19.765625,44.90625,-13.71875
1635457333005,0.15673828,-0.8242798,0.07952881,-15.46875,38.734375,-11.234375
1635457333044,0.020507812,-0.82525635,0.12200928,-12.640625,41.046875,-13.9375
1635457333081,-0.01586914,-0.76348877,0.12225342,1.0625,41.6875,-12.96875
1635457333119,-0.016357422,-0.8699341,0.08270264,-1.265625,46.640625,-14.8125
1635457333156,-0.22192383,-0.91973877,0.07220459,3.0625,59.265625,-18.671875
1635457333212,0.4255371,-0.8340454,-0.3880005,42.390625,40.234375,-18.21875
1635457333250,1.4958496,-2.0,-0.8960571,80.25,-10.78125,28.921875
1635457333289,0.829834,-0.9404907,-0.12017822,-9.9375,-17.328125,-18.1875
1635457333325,0.0390625,-0.66656494,-0.37945557,44.03125,13.890625,-34.5
1635457333363,0.8195801,-1.6936646,-0.24493408,22.734375,-28.59375,5.203125
1635457333400,0.5878906,-0.7276001,-0.05718994,-21.53125,-43.859375,-10.34375
1635457333437,-0.32250977,-0.4024048,-0.20928955,21.25,-3.828125,-20.234375
1635457333474,0.32226562,-0.94610596,-0.28863525,19.40625,-20.75,-13.359375
1635457333513,0.7714844,-0.8179321,-0.13214111,0.1875,-36.8125,-18.4375
1635457333552,0.32006836,-0.68414307,-0.26885986,-9.5625,-46.453125,-16.078125
1635457333626,0.29077148,-0.86016846,-0.25665283,-5.84375,-60.421875,-15.875
1635457333645,0.49145508,-0.9907837,-0.22369385,-0.25,-70.265625,-11.28125
1635457333680,0.3347168,-0.99664307,-0.2354126,-6.015625,-74.109375,-12.34375
1635457333719,0.1628418,-0.9507446,-0.07745361,1.640625,-74.8125,-12.484375
1635457333758,0.18017578,-1.0081177,-0.06842041,5.484375,-76.109375,-9.15625
1635457333794,0.09033203,-0.94659424,-0.047424316,3.546875,-71.296875,-4.859375
1635457333831,-0.0061035156,-0.94854736,0.08441162,4.625,-64.890625,-1.671875
1635457333869,-0.037109375,-0.9480591,0.18597412,12.359375,-52.625,1.71875
1635457333906,-0.08886719,-0.98321533,0.1906128,10.84375,-39.234375,0.6875
1635457333944,-0.01953125,-0.96954346,0.1918335,14.84375,-33.265625,3.859375
1635457334003,-0.036376953,-0.86187744,0.26239014,9.546875,-27.671875,3.4375
1635457334038,2.4414062E-4,-0.78985596,0.21624756,15.453125,-16.359375,6.421875
1635457334075,0.07397461,-0.73931885,0.16278076,15.015625,-19.078125,12.25
1635457334112,0.30151367,-0.5322876,0.055603027,-8.328125,-3.4375,10.453125
1635457334150,0.23706055,-1.5940552,-0.3706665,-25.453125,-34.078125,9.8125
1635457334189,0.73950195,-1.5750122,-0.29034424,38.046875,13.640625,-3.609375
1635457334225,0.76904297,-1.6201782,-0.43780518,26.5625,30.578125,7.84375
1635457334263,0.19555664,-1.0567017,-0.07623291,-17.578125,-14.484375,14.015625
1635457334299,0.115722656,-0.7217407,0.14959717,5.734375,0.984375,-1.015625
1635457334337,0.40307617,-0.9661255,0.026062012,-0.96875,-4.09375,0.484375
1635457334375,0.2849121,-0.7654419,-0.045715332,-16.71875,-4.171875,-7.109375
1635457334432,0.16479492,-0.7654419,0.03704834,-9.78125,2.5,-5.3125
1635457334469,0.22607422,-0.9277954,0.0692749,-12.953125,3.375,-4.984375
1635457334510,0.2578125,-0.9060669,0.03778076,-16.90625,15.15625,-9.40625
1635457334544,0.21801758,-0.9517212,0.07635498,-13.40625,12.28125,-10.96875
1635457334581,0.20263672,-0.9002075,0.121032715,-9.953125,17.6875,-9.765625
1635457334618,0.09423828,-0.89141846,0.15472412,-14.203125,27.1875,-13.859375
1635457334656,0.099365234,-0.8428345,0.17596436,-5.296875,29.234375,-15.484375
1635457334693,0.16064453,-0.8335571,0.15716553,-6.296875,20.1875,-15.65625
1635457334731,0.27172852,-0.7974243,0.16033936,-4.65625,22.578125,-5.015625
1635457334770,0.26660156,-0.8340454,0.22283936,2.5625,12.0625,0.203125
1635457334824,0.08959961,-0.8850708,0.15570068,-1.109375,11.90625,3.59375
1635457334863,0.22949219,-0.9536743,-0.25250244,21.359375,2.140625,11.21875
1635457334900,1.2893066,-2.0,-0.70928955,62.796875,-27.1875,43.9375
1635457334938,-0.45507812,-1.2937622,-0.0020141602,-34.921875,-10.71875,36.03125
1635457334975,-0.31591797,-0.46905518,-0.29571533,72.0,54.703125,-14.734375
1635457335013,1.3579102,-1.2876587,-0.68341064,41.96875,-13.8125,49.765625
1635457335050,0.20385742,-0.6231079,0.105163574,-40.15625,-0.015625,-12.640625
