# Sensor type: Respeck
# Activity type: Movement
# Activity code: 9
# Subject id: s2101848
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635458476549,0.23266602,-0.86138916,0.51361084,-1.28125,2.484375,-0.625
1635458476605,0.23364258,-0.850647,0.52557373,-0.578125,2.765625,-0.625
1635458476643,0.23535156,-0.8467407,0.5348511,-0.734375,1.890625,-0.03125
1635458476681,0.24414062,-0.86065674,0.52508545,-0.71875,1.890625,0.25
1635458476718,0.24365234,-0.8518677,0.5282593,0.375,2.078125,0.21875
1635458476756,0.24316406,-0.84625244,0.527771,0.40625,2.640625,0.203125
1635458476794,0.23828125,-0.85040283,0.5206909,0.21875,1.640625,0.78125
1635458476832,0.23779297,-0.8496704,0.5336304,2.484375,1.296875,0.390625
1635458476869,0.24707031,-0.8406372,0.5326538,2.453125,1.703125,0.59375
1635458476906,0.2331543,-0.84869385,0.5204468,2.9375,1.90625,1.21875
1635458476944,0.24023438,-0.8452759,0.54364014,1.484375,0.515625,1.9375
1635458476982,0.22851562,-0.8479614,0.5541382,3.640625,0.171875,2.75
1635458477038,0.20117188,-0.8460083,0.5470581,3.625,1.40625,2.765625
1635458477075,0.19799805,-0.8501587,0.5404663,2.78125,2.984375,2.46875
1635458477113,0.22607422,-0.8635864,0.5507202,2.640625,6.8125,1.578125
1635458477151,0.2553711,-0.862854,0.56536865,3.6875,6.703125,2.53125
1635458477188,0.2619629,-0.81988525,0.5475464,5.734375,4.328125,4.984375
1635458477225,0.3088379,-0.756897,0.51361084,10.625,3.421875,5.6875
1635458477262,0.3232422,-0.7202759,0.51434326,17.921875,2.046875,4.546875
1635458477301,0.27392578,-0.79278564,0.5895386,10.40625,-2.765625,1.15625
1635458477338,0.2998047,-0.9841919,0.6605835,1.796875,-2.984375,3.3125
1635458477376,0.27001953,-0.91851807,0.57489014,8.5625,3.765625,6.5625
1635458477431,0.23168945,-0.7593384,0.49578857,6.09375,6.875,2.75
1635458477470,0.20996094,-0.7373657,0.51190186,1.171875,5.84375,0.375
1635458477506,0.23144531,-0.7769165,0.5582886,1.0625,7.5625,-0.265625
1635458477545,0.23925781,-0.7908325,0.5841675,0.8125,11.53125,-3.859375
1635458477582,0.25219727,-0.7617798,0.55804443,-0.34375,13.625,-6.890625
1635458477619,0.29418945,-0.8010864,0.5619507,3.875,16.15625,-6.765625
1635458477656,0.34204102,-0.77667236,0.54241943,-2.5625,9.859375,-6.0
1635458477694,0.27954102,-0.7131958,0.5392456,-6.28125,14.96875,-11.796875
1635458477732,0.3022461,-0.7991333,0.5302124,-5.546875,16.71875,-12.96875
1635458477770,0.34545898,-0.8867798,0.5348511,-5.71875,12.546875,-7.953125
1635458477862,0.37817383,-0.9446411,0.5529175,4.984375,8.578125,-4.234375
1635458477865,0.36254883,-0.92803955,0.5409546,4.234375,12.96875,-7.640625
1635458477900,0.3425293,-0.8753052,0.4862671,6.984375,12.1875,-7.6875
1635458477937,0.41552734,-0.9710083,0.39764404,15.203125,4.421875,-1.09375
1635458477975,0.40600586,-1.131897,0.3493042,12.0,-9.8125,7.515625
1635458478013,0.26416016,-1.0122681,0.27191162,17.796875,-6.0625,3.546875
1635458478050,0.2705078,-0.9212036,0.25872803,13.125,-4.734375,4.5
1635458478088,0.34692383,-0.8723755,0.2387085,16.390625,-15.140625,7.09375
1635458478125,0.3647461,-0.84161377,0.25750732,12.109375,-19.03125,4.484375
1635458478163,0.26733398,-0.9348755,0.2387085,16.015625,-18.640625,-0.390625
1635458478219,0.20117188,-0.956604,0.2538452,1.625,-17.296875,0.3125
1635458478256,0.24633789,-0.83135986,0.31219482,1.671875,-11.234375,0.140625
1635458478294,0.29003906,-0.8682251,0.32489014,4.65625,-8.671875,-0.296875
1635458478332,0.31225586,-0.8882446,0.3324585,4.421875,-11.859375,2.734375
1635458478371,0.25708008,-0.925354,0.3685913,2.0,-12.671875,3.046875
1635458478406,0.22045898,-0.8789673,0.38641357,-3.28125,-12.984375,5.953125
1635458478444,0.09472656,-0.7498169,0.4611206,1.5,-11.5,2.421875
1635458478482,0.123046875,-0.88946533,0.44696045,-7.546875,-10.484375,-3.0625
