# Sensor type: Respeck
# Activity type: Walking at normal speed
# Activity code: 1
# Subject id: s1724067
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635453455337,0.05419922,-1.0073853,0.23577881,7.3125,5.046875,3.671875
1635453455394,0.087402344,-1.0090942,0.23358154,6.3125,4.890625,1.78125
1635453455431,0.09667969,-0.96343994,0.23016357,9.265625,5.703125,2.640625
1635453455470,0.17895508,-0.9038696,0.17669678,14.546875,0.234375,3.671875
1635453455506,0.25561523,-0.8731079,0.29486084,9.109375,-0.484375,0.5
1635453455543,0.0,-1.1021118,0.32904053,-2.28125,-2.046875,-7.609375
1635453455582,-0.07788086,-1.1079712,0.30926514,7.515625,8.234375,-3.90625
1635453455619,0.02758789,-1.0320435,0.2772827,4.875,17.359375,-1.140625
1635453455656,0.19262695,-0.94195557,0.2814331,-1.875,11.3125,7.1875
1635453455694,0.18383789,-0.85601807,0.35247803,1.59375,5.859375,4.78125
1635453455731,0.15698242,-0.8464966,0.34881592,2.484375,0.921875,7.140625
1635453455788,0.099853516,-0.8755493,0.3444214,2.953125,-4.796875,4.484375
1635453455825,0.07055664,-0.8792114,0.3439331,6.421875,-0.140625,2.515625
1635453455863,0.0715332,-0.8792114,0.33636475,6.03125,2.890625,0.8125
1635453455900,0.1237793,-0.9463501,0.3571167,2.875,4.234375,2.125
1635453455938,0.08862305,-0.99713135,0.4574585,9.296875,4.265625,0.90625
1635453455978,0.1171875,-1.1543579,0.45599365,1.40625,2.640625,-5.0625
1635453456012,0.053710938,-1.2053833,0.46673584,0.953125,10.96875,-14.265625
1635453456049,0.12524414,-1.24469,0.4413452,-5.78125,17.0,-14.1875
1635453456106,0.26953125,-1.2068481,0.17230225,-4.0,-0.796875,-12.3125
1635453456125,0.3779297,-1.050354,-0.09307861,-6.859375,-0.578125,4.6875
1635453456162,0.3112793,-0.8765259,-0.03326416,-1.625,-9.296875,10.515625
1635453456219,0.19482422,-0.9451294,-0.027160645,-0.671875,-11.1875,0.8125
1635453456257,0.2006836,-0.94000244,0.09686279,7.234375,-24.9375,6.40625
