# Sensor type: Respeck
# Activity type: Walking at normal speed
# Activity code: 1
# Subject id: s2048692
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635457915309,0.08105469,-0.9710083,0.18035889,4.0625,0.234375,-2.59375
1635457915346,0.024658203,-0.9258423,0.18597412,4.890625,7.03125,-3.796875
1635457915380,-0.040039062,-0.9788208,0.1954956,7.265625,12.40625,1.265625
1635457915418,0.08227539,-1.0891724,0.20770264,3.3125,1.828125,3.453125
1635457915456,0.09863281,-1.0674438,0.24090576,8.3125,3.765625,-2.546875
1635457915493,0.04345703,-0.9714966,0.24993896,6.8125,1.546875,-3.40625
1635457915550,0.039794922,-0.93170166,0.24041748,5.421875,-6.75,0.46875
1635457915586,-0.02319336,-0.9837036,0.20648193,5.25,-2.734375,-2.0625
1635457915625,-0.039794922,-0.9898071,0.19598389,6.78125,-2.53125,-3.140625
1635457915664,-0.052978516,-0.9898071,0.22943115,2.6875,-3.65625,0.390625
1635457915699,-0.084472656,-0.9470825,0.26312256,0.1875,-1.78125,-0.4375
1635457915738,-0.07763672,-0.9546509,0.2929077,3.96875,1.265625,0.671875
1635457915775,0.037353516,-0.9553833,0.25335693,3.359375,-4.25,3.578125
1635457915812,0.028808594,-0.95269775,0.262146,-1.421875,-8.109375,4.953125
1635457915850,-0.043701172,-0.96881104,0.3131714,-1.046875,-9.21875,4.171875
1635457915887,-0.13476562,-0.99298096,0.3241577,-1.203125,-2.875,3.0
1635457915925,-0.03857422,-1.0991821,0.28704834,3.015625,-5.203125,2.421875
1635457915982,0.064208984,-1.2283325,0.35028076,1.5,0.140625,-2.359375
1635457916020,-0.032470703,-1.350647,0.30316162,7.0625,9.5625,-14.3125
1635457916056,0.03564453,-1.2817993,0.019958496,4.5625,16.046875,-14.5
1635457916094,0.24707031,-0.9734497,-0.10040283,-4.21875,2.53125,3.546875
1635457916131,0.2861328,-0.62384033,0.027038574,-21.71875,-8.765625,7.359375
1635457916169,-0.036132812,-0.8508911,0.18450928,-10.765625,4.3125,-5.265625
1635457916207,-0.14355469,-1.2962036,0.07366943,5.09375,14.5625,-2.953125
1635457916244,0.31225586,-1.1011353,0.14056396,-7.140625,8.296875,7.515625
1635457916281,0.34521484,-0.88116455,0.23406982,-11.28125,5.75,4.84375
1635457916320,0.05053711,-0.8569946,0.2477417,-10.25,7.71875,2.859375
1635457916374,-0.083984375,-0.8850708,0.25579834,-4.015625,10.515625,7.234375
1635457916411,0.051757812,-0.9031372,0.23895264,-4.6875,17.21875,6.984375
1635457916450,0.1328125,-0.8623657,0.3180542,-4.15625,21.25,-0.1875
1635457916489,0.088134766,-0.8242798,0.34881592,2.375,21.421875,-5.65625
1635457916524,0.025390625,-0.83380127,0.32244873,0.296875,20.828125,-4.421875
1635457916562,0.14868164,-0.8731079,0.3710327,2.78125,15.046875,-3.546875
1635457916600,0.18896484,-0.9373169,0.40057373,-0.6875,10.46875,-7.3125
1635457916639,0.08862305,-0.96539307,0.3607788,4.125,8.140625,-7.140625
1635457916678,0.021728516,-0.9854126,0.40740967,0.953125,5.640625,-1.1875
1635457916713,-0.026855469,-0.9102173,0.49993896,-2.109375,11.765625,-0.671875
1635457916769,0.09033203,-1.114563,0.41082764,5.625,2.71875,4.09375
