# Sensor type: Respeck
# Activity type: Descending stairs
# Activity code: 13
# Subject id: s2048692
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635458092624,0.1159668,-0.99591064,0.22406006,4.28125,2.171875,1.4375
1635458092662,0.072753906,-0.97320557,0.262146,1.4375,-0.171875,-0.25
1635458092703,-0.011962891,-0.98272705,0.2609253,4.1875,6.609375,-2.96875
1635458092737,-0.048339844,-0.9795532,0.2411499,9.65625,12.703125,-3.09375
1635458092775,-0.0075683594,-0.9590454,0.27508545,13.4375,18.21875,-1.296875
1635458092814,0.052246094,-0.9998169,0.2897339,12.328125,12.921875,0.09375
1635458092869,0.1015625,-1.0657349,0.32025146,6.125,2.484375,0.0
1635458092906,-0.037109375,-0.97784424,0.3324585,2.0625,8.421875,-5.03125
1635458092944,-0.10620117,-0.940979,0.29852295,7.859375,12.703125,-6.234375
1635458092982,-0.0146484375,-0.9194946,0.26483154,3.59375,9.453125,-1.171875
1635458093020,0.08300781,-0.8982544,0.26312256,-0.640625,3.71875,2.1875
1635458093057,0.107177734,-0.8413696,0.2411499,-11.125,-6.75,4.078125
1635458093094,0.084228516,-0.6633911,0.21453857,-11.25,-16.140625,8.46875
1635458093131,-0.012207031,-0.47955322,0.23846436,-16.296875,-15.953125,9.40625
1635458093170,-0.22802734,-0.5977173,0.3451538,-15.21875,-6.265625,5.53125
1635458093207,-0.22460938,-0.9495239,0.3168335,-7.953125,1.375,7.84375
1635458093262,-0.04321289,-0.881897,0.19232178,1.28125,8.453125,7.953125
1635458093300,0.21313477,-0.88360596,0.19012451,-13.5625,4.9375,7.703125
1635458093338,0.5258789,-0.96295166,0.14398193,13.953125,-36.828125,8.125
1635458093375,0.43725586,-1.7136841,0.31707764,31.875,5.421875,-3.109375
1635458093413,0.22265625,-1.9981079,0.42059326,7.0,-2.203125,-4.703125
1635458093451,0.08569336,-1.081604,0.3361206,0.265625,-4.953125,1.5
1635458093487,0.24023438,-1.0022583,0.29437256,23.328125,-13.90625,9.046875
1635458093526,0.23925781,-0.90948486,0.28656006,1.28125,-9.3125,4.84375
1635458093582,-0.06738281,-0.5288696,0.2020874,0.890625,0.859375,6.21875
1635458093601,-0.16625977,-0.3106079,0.19256592,-5.234375,1.796875,-0.28125
1635458093656,0.0087890625,-0.31549072,0.369812,-7.015625,14.765625,-15.265625
1635458093694,0.033691406,-0.4229126,0.2736206,-10.84375,16.109375,-26.0
1635458093731,0.099609375,-0.8518677,0.31536865,0.875,2.3125,-13.953125
1635458093770,0.22363281,-1.1611938,0.5133667,-8.359375,3.03125,-9.9375
1635458093806,0.19921875,-1.0354614,0.18548584,14.375,5.0,-13.078125
1635458093844,0.15576172,-2.0,-0.29840088,45.609375,15.640625,24.03125
1635458093880,0.055908203,-1.9246216,0.12298584,-22.09375,-5.34375,14.703125
