# Sensor type: Respeck
# Activity type: Descending stairs
# Activity code: 13
# Subject id: s1820742
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1635438959280,0.026611328,-0.9902954,0.15374756,-0.984375,5.234375,-0.6875
1635438959318,0.049560547,-0.99664307,0.15423584,-0.15625,4.109375,-0.359375
1635438959354,0.03881836,-0.9920044,0.17694092,0.765625,2.296875,-1.140625
1635438959395,0.03491211,-0.991272,0.16986084,2.84375,0.71875,-0.703125
1635438959431,0.035888672,-0.98394775,0.1539917,3.328125,-0.765625,-0.90625
1635438959486,0.032226562,-1.0027466,0.15374756,5.59375,-0.9375,-0.265625
1635438959525,0.0126953125,-0.99468994,0.15692139,5.75,-1.625,-0.59375
1635438959563,0.0043945312,-0.9783325,0.14031982,8.765625,-1.78125,0.234375
1635438959599,-0.006591797,-0.96710205,0.09954834,11.40625,0.375,1.84375
1635438959637,-2.4414062E-4,-0.9607544,0.058532715,12.0,2.71875,3.515625
1635438959674,0.03881836,-1.0066528,0.057800293,11.96875,2.5,4.859375
1635438959712,0.107910156,-1.1467896,0.03704834,10.71875,-1.1875,0.46875
1635438959749,-0.012939453,-0.9314575,0.07904053,9.421875,10.234375,0.359375
1635438959787,-0.028076172,-1.0054321,0.08074951,14.421875,12.234375,-1.90625
1635438959824,0.008300781,-1.0479126,0.059265137,6.75,7.796875,0.796875
1635438959918,0.03540039,-1.0403442,0.074645996,7.53125,0.515625,-0.203125
1635438959921,-0.05102539,-1.0596313,0.109558105,2.125,2.96875,-3.53125
1635438959958,-0.103759766,-1.0088501,0.047058105,-0.09375,4.375,-3.703125
1635438959994,-0.061035156,-0.9714966,0.0602417,-0.765625,6.546875,-3.53125
1635438960032,-0.040039062,-0.97784424,0.06097412,-1.4375,6.34375,-1.625
1635438960067,-0.02709961,-0.98883057,0.062683105,-0.953125,2.296875,-0.9375
1635438960105,-0.028564453,-0.93463135,0.06561279,-2.984375,0.6875,-0.734375
1635438960143,-0.07495117,-0.86602783,0.109069824,-3.796875,1.203125,0.46875
1635438960180,-0.1328125,-0.86968994,0.0927124,-7.828125,1.703125,-0.34375
1635438960219,-0.08496094,-0.8098755,0.07928467,-4.203125,4.640625,2.78125
1635438960256,-0.048339844,-0.8826294,0.09442139,-6.15625,8.859375,2.328125
1635438960312,0.04345703,-0.76397705,0.15057373,-7.90625,5.578125,2.796875
1635438960350,-0.040283203,-0.756897,0.17010498,-7.578125,0.078125,1.21875
1635438960387,-0.0637207,-0.8440552,0.16497803,-8.375,1.265625,-2.0
1635438960425,0.15063477,-0.736145,-0.06036377,-2.765625,-7.34375,1.5625
1635438960462,0.51464844,-1.1201782,-0.21807861,13.75,-33.1875,-12.484375
1635438960499,0.018798828,-1.4927368,0.27923584,29.0,14.65625,-25.0
1635438960537,-0.19311523,-1.3169556,0.11810303,10.84375,-3.078125,-0.421875
1635438960575,-0.53027344,-1.8359985,0.06854248,1.828125,-21.453125,-35.6875
1635438960612,-0.18359375,-0.5906372,-0.1038208,-5.65625,20.75,22.015625
1635438960650,0.10229492,-0.87384033,0.41522217,-5.40625,-12.71875,9.703125
1635438960705,0.1508789,-0.81988525,0.22039795,5.3125,7.96875,16.1875
1635438960744,0.26733398,-0.8257446,-0.030090332,-2.609375,7.890625,8.828125
1635438960781,-0.091308594,-0.8098755,0.17327881,2.78125,-3.0625,-9.390625
